"systemLoad","gridTHD_a","gridTHD_b","gridTHD_c","driverFault"
"8","0.113787615798","0.11471509524201","0.11528968460373","'0'"
"8","0.32819117715551","0.28065745404465","0.33521250430695","'1'"
"8","0.32985444014885","0.2828142356244","0.33528384485197","'1'"
"8","0.41565859523965","0.3345071384487","0.55709588293756","'1'"
"8","0.2816176553966","0.33535326997653","0.33058151965888","'10'"
"8","0.36129993109343","0.3051781262519","0.28899479210359","'11'"
"8","0.49114423453543","0.48774275907968","0.47155923759516","'11'"
"8","0.49222116093242","0.51404409312801","0.53501062139981","'11'"
"8","0.28214397937274","0.33522200663262","0.3315687362778","'10'"
"8","0.49299540741484","0.48845726696429","0.47650341631622","'11'"
"8","0.35776594585857","0.3029125947094","0.28910352621472","'11'"
"8","0.49246275396107","0.51391143611871","0.53548582681516","'11'"
"8","0.33520137947029","0.56023808421633","0.41251854281184","'10'"
"8","0.51751909674505","0.57403786148544","0.44845814676942","'11'"
"8","0.5188760915051","0.5747917914389","0.44548993232407","'11'"
"8","0.55262003036731","0.64660163237388","0.59379416469845","'11'"
"8","0.3341785106303","0.32912098606475","0.27929291918752","'100'"
"8","0.29030144938378","0.36297180971653","0.30498188330965","'101'"
"8","0.4746935505735","0.49184684006806","0.48681800953655","'101'"
"8","0.44476416720234","0.52025261021037","0.57586554533163","'101'"
"8","0.30807977668955","0.29142374169647","0.36487851916925","'110'"
"8","0.48775577036327","0.47584973623742","0.49500358790635","'110'"
"8","0.51256175225498","0.53676393491802","0.49033527143538","'110'"
"8","0.33838414515947","0.33628033320697","0.28469826590339","'100'"
"8","0.47648688449411","0.49321444713057","0.48735641823549","'101'"
"8","0.28744119183666","0.3624995924947","0.306059144331","'101'"
"8","0.45208783884348","0.51956549710537","0.57210293769567","'101'"
"8","0.48656034374972","0.47468312238196","0.49205324904523","'110'"
"8","0.30529627580342","0.29160899792163","0.36254287901756","'110'"
"8","0.51376835996965","0.5359466439073","0.49214990283588","'110'"
"8","0.5590983150004","0.41440846802868","0.33589831867404","'100'"
"8","0.53455443427947","0.49230347779504","0.51448386774315","'101'"
"8","0.53318780299207","0.4920693539688","0.51462760412721","'101'"
"8","0.59198959362065","0.55345252905341","0.6477023955355","'101'"
"8","0.57530163711756","0.44742158703179","0.52075909189605","'110'"
"8","0.57479016738492","0.44702051249226","0.5192713468915","'110'"
"8","0.64633383741855","0.59512420361975","0.55224651280206","'110'"
"9","0.1276318226969","0.12528572230145","0.12965363698499","'0'"
"9","0.34719650303849","0.30750400858093","0.3770301479134","'1'"
"9","0.34841436209395","0.30657139871491","0.37636244323353","'1'"
"9","0.40836982846445","0.32940340773357","0.56069941385459","'1'"
"9","0.30966549546689","0.37383303052915","0.35507367802049","'10'"
"9","0.35840950372392","0.32952639676315","0.30106783868866","'11'"
"9","0.56259070164417","0.55605126853241","0.40778473331961","'11'"
"9","0.56469301410661","0.56673446952788","0.51618602088234","'11'"
"9","0.30690469402766","0.37457300909344","0.34431850664062","'10'"
"9","0.56075694056765","0.5576855106351","0.4061664546439","'11'"
"9","0.35703067788398","0.33243983792161","0.29741826468086","'11'"
"9","0.56102591245081","0.56521615997901","0.51993718176066","'11'"
"9","0.32812177890501","0.5605252688308","0.40942385098141","'10'"
"9","0.57815303173704","0.64101971158344","0.43141417083798","'11'"
"9","0.58001635412146","0.64019653916976","0.43075218202121","'11'"
"9","0.63913901957587","0.73373572651046","0.60466973188769","'11'"
"9","0.37299241717861","0.35004808237079","0.30356256197819","'100'"
"9","0.29716259768596","0.36161492513773","0.33039651380295","'101'"
"9","0.40300025107735","0.56042268089189","0.55818951347468","'101'"
"9","0.43141721784227","0.5793572646887","0.64084887588871","'101'"
"9","0.33197492857387","0.29885132567639","0.35949390666823","'110'"
"9","0.55515154953402","0.40675416185292","0.56099810782818","'110'"
"9","0.5678493869419","0.51942581717468","0.56565655581633","'110'"
"9","0.37669141037681","0.34943720423635","0.30639108691397","'100'"
"9","0.40507935281884","0.56301977815955","0.55844231484087","'101'"
"9","0.29849932776075","0.36036148637572","0.33080075770426","'101'"
"9","0.42568651914169","0.58215378492954","0.64111719642209","'101'"
"9","0.55845704230443","0.40498030367173","0.56221613361535","'110'"
"9","0.33224667002791","0.30008207755832","0.36185835940328","'110'"
"9","0.56705203544285","0.51662139679185","0.5646327081326","'110'"
"9","0.5607221937888","0.41203714863615","0.33054301072492","'100'"
"9","0.51627556441681","0.56379090932526","0.56753323264989","'101'"
"9","0.51690445115405","0.56460946708764","0.56732055842748","'101'"
"9","0.60184738575687","0.63898203935682","0.73400379960211","'101'"
"9","0.64149965150938","0.4312169128306","0.57819152435331","'110'"
"9","0.63978617331645","0.43248467280091","0.5816229813261","'110'"
"9","0.7362724151461","0.59813171375077","0.6388507907634","'110'"
"10","0.14631654380639","0.15054767363108","0.15032681668794","'0'"
"10","0.3468056798725","0.30969424039255","0.3805622823496","'1'"
